"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"3. ispitni rok - bodovi";"3. ispitni rok - prolaz";"3. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"76edebfb";74.0;4.0;"2024-02-05";74;"DA ";"2024-02-14";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"770b1267";53.33;2.0;"2024-08-28";47;"";"2024-02-13";43.33;"";"2024-02-24";6.67;"";"2024-07-10";53.33;"DA ";"2024-09-05";0.0;"";"2023-11-10"
"770e8dac";60.0;3.0;"2024-02-05";60;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"772b70dd";63.0;3.0;"2024-02-05";63;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"775d8389";"";"";"";12;"";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"77850feb";"";"";"";38;"";"2024-02-13";1.67;"";"2024-02-24";0.0;"";"2023-11-10";43.33;"";"2024-09-05";0.0;"";"2023-11-10"
"77a96bb5";53.33;2.0;"2024-02-19";48;"";"2024-02-13";53.33;"DA ";"2024-02-24";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"781f4305";61.0;3.0;"2024-02-05";61;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"793190f8";"";"";"";47;"";"2024-02-13";43.33;"";"2024-02-24";18.33;"";"2024-07-10";6.67;"";"2024-09-05";0.0;"";"2023-11-10"
"7947b0c8";"";"";"";32;"";"2024-02-13";35.0;"";"2024-02-22";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"79baea61";"";"";"";41;"";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7b6a0c68";"";"";"";13;"";"2024-02-08";0.0;"";"2023-11-10";0.0;"";"2023-11-10";6.67;"";"2024-09-05";0.0;"";"2023-11-10"
"7b7866e2";61.0;3.0;"2024-02-05";61;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7c0503a8";64.0;3.0;"2024-02-05";64;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7c06662d";50.0;2.0;"2024-02-19";33;"";"2024-02-13";50.0;"DA ";"2024-02-22";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7cb79fe3";72.0;4.0;"2024-02-05";72;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7ce88e25";58.33;3.0;"2024-02-19";44;"";"2024-02-13";58.33;"DA ";"2024-02-24";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7cea8f11";"";"";"";12;"";"2024-02-08";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7d05f35c";55.0;2.0;"2024-09-09";33;"";"2024-02-13";38.33;"";"2024-02-24";0.0;"";"2023-11-10";15.0;"";"2024-09-05";55.0;"DA ";"2024-09-12"
"7d0fa340";58.0;3.0;"2024-02-05";58;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
