"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok (ljetni) - bodovi";"2. ispitni rok (ljetni) - prolaz";"2. ispitni rok (ljetni) - vrijeme";"2. ispitni rok (jesenski) - bodovi";"2. ispitni rok (jesenski) - prolaz";"2. ispitni rok (jesenski) - vrijeme";"3. ispitni rok - bodovi";"3. ispitni rok - prolaz";"3. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"2440c72f";47.0;2.0;"2020-02-03";47;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2443412d";45.0;2.0;"2020-02-03";45;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"249ffeee";48.0;2.0;"2020-02-03";48;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"25077793";50.0;2.0;"2020-02-03";50;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"250ef43f";"";"";"";0;"";"2019-09-24";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"253dd87a";65.63;3.0;"2020-08-24";13;"";"2019-12-04";12.5;"";"2020-02-19";0.0;"";"2020-06-02";65.63;"DA ";"2020-08-27";0;"";"2020-06-02";0.0;"";"2020-09-09"
"255e0525";45.31;2.0;"2020-02-17";31;"";"2020-02-10";45.31;"DA ";"2020-02-19";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"25eaa5ba";52.0;2.0;"2020-02-03";52;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"26006897";70.31;4.0;"2020-02-17";34;"";"2020-02-10";70.31;"DA ";"2020-02-19";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"26bc3c68";59.38;3.0;"2020-08-24";23;"";"2020-02-10";29.69;"";"2020-02-19";0.0;"";"2020-06-02";59.38;"DA ";"2020-08-27";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2719ea85";55.0;3.0;"2020-02-03";55;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2859a0f2";62.0;3.0;"2020-02-03";62;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"287c3488";56.0;3.0;"2020-02-03";56;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"28845957";"";"";"";9;"";"2019-12-04";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"290b4710";"";"";"";0;"";"2019-09-24";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"29c1231b";"";"";"";14;"";"2019-12-04";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"29cf28ea";55.0;3.0;"2020-02-03";55;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2a90f543";"";"";"";0;"";"2019-09-24";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2ae7c17c";56.25;3.0;"2020-07-06";11;"";"2019-12-04";39.06;"";"2020-02-19";56.25;"DA ";"2020-07-06";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2af57b36";64.06;3.0;"2020-02-17";37;"";"2020-02-10";64.06;"DA ";"2020-02-19";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2b3a8462";75.0;4.0;"2020-02-17";39;"";"2020-02-10";75.0;"DA ";"2020-02-19";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
