"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"Zimski rok - bodovi";"Zimski rok - prolaz";"Zimski rok - vrijeme";"Ljetni rok - bodovi";"Ljetni rok - prolaz";"Ljetni rok - vrijeme";"Jesenski rok (1) - bodovi";"Jesenski rok (1) - prolaz";"Jesenski rok (1) - vrijeme";"Jesenski rok (2) - bodovi";"Jesenski rok (2) - prolaz";"Jesenski rok (2) - vrijeme"
"0e726eb3";"";"";"";0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0e78931b";58.3;3.0;"2025-09-09";34;"";"2025-02-19";0.0;"";"2024-09-25";33.33;"";"2025-07-11";46.67;"";"2025-09-03";58.3;"DA ";"2025-09-16"
"0e9904a7";50.0;2.0;"2025-02-10";50;"DA ";"2025-02-20";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0ef9ccb3";"";"";"";36;"";"2025-02-19";11.67;"";"2025-03-03";15.0;"";"2025-07-11";6.67;"";"2025-09-03";0.0;"";"2024-09-25"
"0f9bf769";"";"";"";8;"";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0fb4cefa";84.0;4.0;"2025-02-10";84;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0fb9566c";63.3;3.0;"2025-09-09";39;"";"2025-02-19";38.33;"";"2025-03-03";0.0;"";"2024-09-25";25.0;"";"2025-09-03";63.3;"DA ";"2025-09-16"
"109ffd91";68.0;3.0;"2025-02-10";68;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"10b6f851";64.0;3.0;"2025-02-10";64;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"10df2991";84.0;4.0;"2025-02-10";84;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"10f70653";73.0;4.0;"2025-02-10";73;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1112d670";55.0;2.0;"2025-02-24";24;"";"2025-02-19";55.0;"DA ";"2025-03-03";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"11aef1f5";55.0;2.0;"2025-02-10";55;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"12592529";54.0;2.0;"2025-02-10";54;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"12d3b317";55.0;2.0;"2025-09-09";41;"";"2025-02-19";40.0;"";"2025-03-03";0.0;"";"2024-09-25";18.33;"";"2025-09-03";55.0;"DA ";"2025-09-16"
"12f97116";"";"";"";12;"";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";16.67;"";"2025-09-03";0.0;"";"2024-09-25"
"130f0ee4";50.0;2.0;"2025-02-24";45;"";"2025-02-19";50.0;"DA ";"2025-03-06";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1318cb26";56.7;2.0;"2025-09-09";23;"";"2025-02-19";31.67;"";"2025-03-03";20.0;"";"2025-07-11";15.0;"";"2025-09-03";56.7;"DA ";"2025-09-16"
"1318ed1a";53.3;2.0;"2025-09-09";0;"";"2024-09-25";0.0;"";"2024-09-25";11.67;"";"2025-07-11";11.67;"";"2025-09-03";53.3;"DA ";"2025-09-17"
"1379ea97";74.0;4.0;"2025-02-10";74;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"13d77375";"";"";"";5;"";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"14810034";73.0;4.0;"2025-02-10";73;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"14dda0ba";"";"";"";14;"";"2025-02-19";36.67;"";"2025-03-03";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"150eecfd";57.0;2.0;"2025-02-10";57;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"15375767";58.33;3.0;"2025-02-24";41;"";"2025-02-19";58.33;"DA ";"2025-03-03";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"15af0d7a";"";"";"";42;"";"2025-02-19";30.0;"";"2025-03-03";0.0;"";"2024-09-25";36.67;"";"2025-09-03";45.0;"";"2025-09-17"
"1647a1c2";"";"";"";8;"";"2025-02-19";3.33;"";"2025-03-03";0.0;"";"2024-09-25";3.33;"";"2025-09-03";0.0;"";"2024-09-25"
"166f59cb";60.0;3.0;"2025-02-10";60;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"16948aea";"";"";"";47;"";"2025-02-19";36.67;"";"2025-03-03";1.67;"";"2025-07-11";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1697aa07";"";"";"";16;"";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"16c83872";61.7;3.0;"2025-09-09";39;"";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";21.67;"";"2025-09-03";61.7;"DA ";"2025-09-16"
"179ea192";70.0;3.0;"2025-02-10";70;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"17cd3342";"";"";"";40;"";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"182308af";61.67;3.0;"2025-02-24";9;"";"2025-02-19";61.67;"DA ";"2025-03-03";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1884ed6a";"";"";"";0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"189e5de9";66.0;3.0;"2025-02-10";66;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"18d1d5d7";62.0;3.0;"2025-02-10";62;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"18de98ba";58.0;3.0;"2025-02-10";58;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"196308a6";61.0;3.0;"2025-02-10";61;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"198a67da";50.0;2.0;"2025-07-09";39;"";"2025-02-19";38.33;"";"2025-03-03";50.0;"DA ";"2025-07-14";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1aab21ff";"";"";"";6;"";"2025-02-19";33.33;"";"2025-03-03";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1ae304af";58.0;3.0;"2025-02-10";58;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1aead682";68.0;3.0;"2025-02-10";68;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1b3c982a";"";"";"";38;"";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1b824664";55.0;2.0;"2025-08-27";44;"";"2025-02-19";10.0;"";"2025-03-03";0.0;"";"2024-09-25";55.0;"DA ";"2025-09-03";0.0;"";"2024-09-25"
"1bf5e6d6";65.0;3.0;"2025-02-10";65;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1bfa4c16";"";"";"";10;"";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1c3dcafc";"";"";"";39;"";"2025-02-19";38.33;"";"2025-03-03";28.33;"";"2025-07-11";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1c5b2d4e";55.0;2.0;"2025-02-10";55;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1c5eb8de";66.7;3.0;"2025-09-09";18;"";"2025-02-19";0.0;"";"2024-09-25";21.67;"";"2025-07-11";35.0;"";"2025-09-03";66.7;"DA ";"2025-09-16"
"1d3b3c71";77.0;4.0;"2025-02-10";77;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1dac31bf";61.0;3.0;"2025-02-10";61;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1db1bb15";"";"";"";16;"";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";18.33;"";"2025-09-03";0.0;"";"2024-09-25"
"1e2d4dee";"";"";"";8;"";"2025-02-19";20.0;"";"2025-03-03";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1ed4df4d";61.0;3.0;"2025-02-10";61;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1f34dcd6";78.0;4.0;"2025-02-10";78;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"1fa9f1e5";62.0;3.0;"2025-02-10";62;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
